representation,tupleCount,attributeCount,sparsity,tableSize,queryCount1,queryCount2,duration
Horizontal,2000,5,0.5,122880,15811,46553,10
Vertical,2000,5,0.5,401408,12389,4731,10
Vertical Optimized,2000,5,0.5,524288,75460,38706,10
Vertical Functions,2000,5,0.5,532480,109993,47710,10
Vertical Functions (Hash Index),2000,5,0.5,548864,112425,23685,10
Vertical Functions (Batch),2000,5,0.5,557056,112400,13497,10
Horizontal,2000,5,0.75,106496,82179,71887,10
Vertical,2000,5,0.75,262144,17834,8012,10
Vertical Optimized,2000,5,0.75,360448,76209,38823,10
Vertical Functions,2000,5,0.75,368640,109364,59133,10
Vertical Functions (Hash Index),2000,5,0.75,368640,113494,104900,10
Vertical Functions (Batch),2000,5,0.75,368640,107300,128792,10
Horizontal,2000,5,0.9375,98304,81158,76468,10
Vertical,2000,5,0.9375,155648,28806,12390,10
Vertical Optimized,2000,5,0.9375,212992,67270,44416,10
Vertical Functions,2000,5,0.9375,212992,57906,33924,10
Vertical Functions (Hash Index),2000,5,0.9375,237568,80029,72708,10
Vertical Functions (Batch),2000,5,0.9375,237568,52300,29161,10
Horizontal,2000,10,0.5,163840,74258,56121,10
Vertical,2000,10,0.5,589824,2995,1759,10
Vertical Optimized,2000,10,0.5,876544,63361,6685,10
Vertical Functions,2000,10,0.5,868352,88586,60734,10
Vertical Functions (Hash Index),2000,10,0.5,868352,89102,71605,10
Vertical Functions (Batch),2000,10,0.5,876544,87200,6907,10
Horizontal,2000,10,0.75,131072,74909,61366,10
Vertical,2000,10,0.75,376832,7565,3129,10
Vertical Optimized,2000,10,0.75,524288,62696,6864,10
Vertical Functions,2000,10,0.75,524288,89434,6502,10
Vertical Functions (Hash Index),2000,10,0.75,557056,93347,6934,10
Vertical Functions (Batch),2000,10,0.75,516096,90100,7214,10
Horizontal,2000,10,0.9375,122880,75056,69880,10
Vertical,2000,10,0.9375,212992,12372,5299,10
Vertical Optimized,2000,10,0.9375,270336,67645,12128,10
Vertical Functions,2000,10,0.9375,278528,100941,46217,10
Vertical Functions (Hash Index),2000,10,0.9375,270336,70624,48088,10
Vertical Functions (Batch),2000,10,0.9375,278528,95400,43306,10
Horizontal,2000,15,0.5,196608,75741,48499,10
Vertical,2000,15,0.5,827392,1710,1005,10
Vertical Optimized,2000,15,0.5,1220608,58053,3706,10
Vertical Functions,2000,15,0.5,1196032,76694,3990,10
Vertical Functions (Hash Index),2000,15,0.5,1220608,78525,4015,10
Vertical Functions (Batch),2000,15,0.5,1220608,75300,3781,10
Horizontal,2000,15,0.75,147456,73482,58721,10
Vertical,2000,15,0.75,491520,3000,1010,10
Vertical Optimized,2000,15,0.75,696320,58578,3809,10
Vertical Functions,2000,15,0.75,696320,76107,32644,10
Vertical Functions (Hash Index),2000,15,0.75,704512,81088,87669,10
Vertical Functions (Batch),2000,15,0.75,720896,78400,4069,10
Horizontal,2000,15,0.9375,122880,70763,65221,10
Vertical,2000,15,0.9375,237568,8342,2799,10
Vertical Optimized,2000,15,0.9375,327680,63396,3905,10
Vertical Functions,2000,15,0.9375,319488,82432,68236,10
Vertical Functions (Hash Index),2000,15,0.9375,327680,83448,47561,10
Vertical Functions (Batch),2000,15,0.9375,335872,50900,23924,10
Horizontal,4000,5,0.5,229376,50562,38845,10
Vertical,4000,5,0.5,712704,6969,2437,10
Vertical Optimized,4000,5,0.5,966656,47926,41942,10
Vertical Functions,4000,5,0.5,991232,81823,22620,10
Vertical Functions (Hash Index),4000,5,0.5,950272,82918,24065,10
Vertical Functions (Batch),4000,5,0.5,958464,74800,16341,10
Horizontal,4000,5,0.75,196608,49985,41358,10
Vertical,4000,5,0.75,450560,12489,3595,10
Vertical Optimized,4000,5,0.75,598016,46614,35173,10
Vertical Functions,4000,5,0.75,606208,78562,48513,10
Vertical Functions (Hash Index),4000,5,0.75,606208,79072,83020,10
Vertical Functions (Batch),4000,5,0.75,630784,81000,22444,10
Horizontal,4000,5,0.9375,172032,56814,52851,10
Vertical,4000,5,0.9375,286720,21791,7536,10
Vertical Optimized,4000,5,0.9375,344064,48600,39092,10
Vertical Functions,4000,5,0.9375,360448,83410,48132,10
Vertical Functions (Hash Index),4000,5,0.9375,360448,51465,66074,10
Vertical Functions (Batch),4000,5,0.9375,360448,76300,95815,10
Horizontal,4000,10,0.5,352256,49764,31913,10
Vertical,4000,10,0.5,1179648,1984,1015,10
Vertical Optimized,4000,10,0.5,1671168,47692,14949,10
Vertical Functions,4000,10,0.5,1671168,72492,5894,10
Vertical Functions (Hash Index),4000,10,0.5,1654784,71080,7353,10
Vertical Functions (Batch),4000,10,0.5,1638400,73100,7196,10
Horizontal,4000,10,0.75,253952,54229,40310,10
Vertical,4000,10,0.75,688128,2948,1505,10
Vertical Optimized,4000,10,0.75,958464,45641,11496,10
Vertical Functions,4000,10,0.75,933888,66810,36259,10
Vertical Functions (Hash Index),4000,10,0.75,925696,76600,8209,10
Vertical Functions (Batch),4000,10,0.75,950272,72200,10759,10
Horizontal,4000,10,0.9375,221184,51887,45757,10
Vertical,4000,10,0.9375,352256,13498,4996,10
Vertical Optimized,4000,10,0.9375,458752,51132,15433,10
Vertical Functions,4000,10,0.9375,442368,74300,55523,10
Vertical Functions (Hash Index),4000,10,0.9375,425984,74515,104672,10
Vertical Functions (Batch),4000,10,0.9375,434176,74500,8381,10
Horizontal,4000,15,0.5,434176,51035,29426,10
Vertical,4000,15,0.5,1630208,964,608,10
Vertical Optimized,4000,15,0.5,2408448,45878,4834,10
Vertical Functions,4000,15,0.5,2318336,67840,4274,10
Vertical Functions (Hash Index),4000,15,0.5,2359296,63580,4180,10
Vertical Functions (Batch),4000,15,0.5,2334720,65900,4127,10
Horizontal,4000,15,0.75,278528,49045,34779,10
Vertical,4000,15,0.75,917504,1903,902,10
Vertical Optimized,4000,15,0.75,1269760,47355,5024,10
Vertical Functions,4000,15,0.75,1294336,67594,4127,10
Vertical Functions (Hash Index),4000,15,0.75,1269760,65475,4485,10
Vertical Functions (Batch),4000,15,0.75,1294336,67400,4119,10
Horizontal,4000,15,0.9375,221184,51038,43446,10
Vertical,4000,15,0.9375,401408,6569,1731,10
Vertical Optimized,4000,15,0.9375,524288,46264,5988,10
Vertical Functions,4000,15,0.9375,524288,67974,3659,10
Vertical Functions (Hash Index),4000,15,0.9375,516096,66601,29854,10
Vertical Functions (Batch),4000,15,0.9375,516096,65400,40984,10
Horizontal,8000,5,0.5,499712,31705,23161,10
Vertical,8000,5,0.5,1376256,4034,1351,10
Vertical Optimized,8000,5,0.5,1900544,32650,44397,10
Vertical Functions,8000,5,0.5,1826816,57438,20170,10
Vertical Functions (Hash Index),8000,5,0.5,1949696,57417,25945,10
Vertical Functions (Batch),8000,5,0.5,1818624,56300,19910,10
Horizontal,8000,5,0.75,376832,32542,26493,10
Vertical,8000,5,0.75,835584,6144,2360,10
Vertical Optimized,8000,5,0.75,1122304,32178,43875,10
Vertical Functions,8000,5,0.75,1130496,58861,30827,10
Vertical Functions (Hash Index),8000,5,0.75,1114112,57817,25088,10
Vertical Functions (Batch),8000,5,0.75,1097728,52500,17485,10
Horizontal,8000,5,0.9375,319488,32301,30050,10
Vertical,8000,5,0.9375,499712,17420,5967,10
Vertical Optimized,8000,5,0.9375,589824,30889,38748,10
Vertical Functions,8000,5,0.9375,581632,53561,138541,10
Vertical Functions (Hash Index),8000,5,0.9375,581632,38185,101869,10
Vertical Functions (Batch),8000,5,0.9375,581632,52700,135044,10
Horizontal,8000,10,0.5,917504,30330,18469,10
Vertical,8000,10,0.5,2547712,918,533,10
Vertical Optimized,8000,10,0.5,3473408,31185,7259,10
Vertical Functions,8000,10,0.5,3260416,52563,6821,10
Vertical Functions (Hash Index),8000,10,0.5,3457024,52440,6428,10
Vertical Functions (Batch),8000,10,0.5,3276800,52500,6179,10
Horizontal,8000,10,0.75,532480,30572,22790,10
Vertical,8000,10,0.75,1327104,2631,1005,10
Vertical Optimized,8000,10,0.75,1810432,31276,12846,10
Vertical Functions,8000,10,0.75,1826816,53165,6714,10
Vertical Functions (Hash Index),8000,10,0.75,1818624,51686,7652,10
Vertical Functions (Batch),8000,10,0.75,1777664,50400,8583,10
Horizontal,8000,10,0.9375,401408,33446,27319,10
Vertical,8000,10,0.9375,598016,8908,2664,10
Vertical Optimized,8000,10,0.9375,786432,31950,15432,10
Vertical Functions,8000,10,0.9375,753664,49437,71895,10
Vertical Functions (Hash Index),8000,10,0.9375,761856,49209,71131,10
Vertical Functions (Batch),8000,10,0.9375,745472,51900,7573,10
Horizontal,8000,15,0.5,1056768,29262,15393,10
Vertical,8000,15,0.5,3416064,542,315,10
Vertical Optimized,8000,15,0.5,4734976,29922,5111,10
Vertical Functions,8000,15,0.5,4718592,47333,3484,10
Vertical Functions (Hash Index),8000,15,0.5,5005312,47029,3640,10
Vertical Functions (Batch),8000,15,0.5,4685824,47400,3683,10
Horizontal,8000,15,0.75,581632,30370,19558,10
Vertical,8000,15,0.75,1802240,1028,512,10
Vertical Optimized,8000,15,0.75,2482176,29444,5811,10
Vertical Functions,8000,15,0.75,2498560,49193,3551,10
Vertical Functions (Hash Index),8000,15,0.75,2482176,48993,4349,10
Vertical Functions (Batch),8000,15,0.75,2498560,48000,3834,10
Horizontal,8000,15,0.9375,417792,32149,25614,10
Vertical,8000,15,0.9375,729088,4487,1292,10
Vertical Optimized,8000,15,0.9375,942080,31349,5192,10
Vertical Functions,8000,15,0.9375,925696,46912,4147,10
Vertical Functions (Hash Index),8000,15,0.9375,917504,47743,4341,10
Vertical Functions (Batch),8000,15,0.9375,917504,46900,4310,10
