Approach,matrixLength,sparsity,queryCount
approach0,8,0.2,2274791.933333333
approach1,8,0.2,4374.233333333334
approach2,8,0.2,2897.6833333333334
approach0,8,0.4,2055634.2833333334
approach1,8,0.4,4370.166666666667
approach2,8,0.4,2997.15
approach0,8,0.6,2283532.033333333
approach1,8,0.6,5417.35
approach2,8,0.6,3059.8
approach0,8,0.8,2283198.2333333334
approach1,8,0.8,5759.466666666666
approach2,8,0.8,3123.9166666666665
approach0,16,0.2,449905.8333333333
approach1,16,0.2,1748.1166666666666
approach2,16,0.2,697.4666666666667
approach0,16,0.4,449012.0333333333
approach1,16,0.4,2445.0
approach2,16,0.4,696.1666666666666
approach0,16,0.6,449116.3
approach1,16,0.6,3050.5666666666666
approach2,16,0.6,705.7333333333333
approach0,16,0.8,448742.63333333336
approach1,16,0.8,4336.55
approach2,16,0.8,721.55
approach0,32,0.2,60082.61666666667
approach1,32,0.2,286.45
approach2,32,0.2,127.71666666666667
approach0,32,0.4,60117.1
approach1,32,0.4,464.3666666666667
approach2,32,0.4,126.86666666666666
approach0,32,0.6,60057.38333333333
approach1,32,0.6,759.85
approach2,32,0.6,126.61666666666666
approach0,32,0.8,60107.75
approach1,32,0.8,1525.3
approach2,32,0.8,129.26666666666668
approach0,64,0.2,7116.766666666666
approach1,64,0.2,40.31666666666667
approach2,64,0.2,19.816666666666666
approach0,64,0.4,7127.466666666666
approach1,64,0.4,71.36666666666666
approach2,64,0.4,19.95
approach0,64,0.6,7106.05
approach1,64,0.6,119.36666666666666
approach2,64,0.6,20.233333333333334
approach0,64,0.8,6953.033333333334
approach1,64,0.8,287.15
approach2,64,0.8,19.983333333333334
